GEOID,Civilian_EST,Tot1,Veteran_EST,Tot2
6037195903,1969,1982,13,1982
6037197200,3061,3153,92,3153
6037197300,3498,3576,78,3576
6037197410,3766,3885,119,3885
6037197420,3020,3043,23,3043
6037197500,3178,3227,49,3227
6037197600,2001,2035,34,2035
6037197700,4281,4289,8,4289
6037199000,4166,4217,51,4217
6037199110,1993,2077,84,2077
6037199120,3216,3273,57,3273
6037199201,3001,3084,83,3084
6037199202,2262,2337,75,2337
6037199300,2972,3060,88,3060
6037199400,3560,3613,53,3613
6037199700,2476,2532,56,2532
6037199800,4129,4142,13,4142
6037199900,1991,2019,28,2019
6037201110,1780,1856,76,1856
6037201120,2816,2873,57,2873
6037201200,1908,1944,36,1944
6037201301,2926,3004,78,3004
6037201302,3565,3659,94,3659
6037201401,3679,3729,50,3729
6037201402,4216,4321,105,4321
6037201501,4460,4554,94,4554
6037201503,2346,2367,21,2367
6037201504,1771,1830,59,1830
6037201601,1781,1870,89,1870
6037201602,2351,2421,70,2421
6037201700,5056,5146,90,5146
6037203100,3105,3149,44,3149
6037203200,3540,3611,71,3611
6037203300,1251,1265,14,1265
6037203500,2214,2255,41,2255
6037203600,3728,3766,38,3766
6037203710,2528,2547,19,2547
6037203720,2941,3011,70,3011
6037203800,3348,3454,106,3454
6037203900,2266,2313,47,2313
6037204110,2418,2440,22,2440
6037204120,2142,2202,60,2202
6037204200,2370,2376,6,2376
6037204300,3466,3515,49,3515
6037204410,1433,1461,28,1461
6037204420,2216,2271,55,2271
6037204600,2951,3006,55,3006
6037204700,3894,3914,20,3914
6037204810,3815,3837,22,3837
6037204820,1639,1685,46,1685
6037204910,2552,2586,34,2586
6037204920,1918,1948,30,1948
6037205110,2641,2651,10,2651
6037205120,2443,2455,12,2455
6037206010,2795,2831,36,2831
6037206020,8083,8403,320,8403
6037206031,3363,3480,117,3480
6037206032,4118,4128,10,4128
6037206050,1750,1821,71,1821
6037206200,3396,3504,108,3504
6037206300,5372,5937,565,5937
6037207101,3289,3344,55,3344
6037207102,2207,2265,58,2265
6037207103,1927,1961,34,1961
6037207301,4738,4907,169,4907
6037207302,4432,4610,178,4610
6037207400,1044,1056,12,1056
6037207501,2121,2203,82,2203
6037207502,2796,2889,93,2889
6037207710,3810,3912,102,3912
6037207900,4518,4589,71,4589
6037208000,5977,6029,52,6029
6037208301,1548,1559,11,1559
6037208302,3407,3411,4,3411
6037208401,3451,3535,84,3535
6037208402,2380,2409,29,2409
6037208501,1810,1833,23,1833
6037208502,2843,2865,22,2865
6037208610,3855,3943,88,3943
6037208620,3455,3500,45,3500
6037208710,3828,3882,54,3882
6037208720,3409,3460,51,3460
6037208801,2596,2604,8,2604
6037208802,2743,2813,70,2813
6037208902,2117,2117,0,2117
6037208903,3406,3469,63,3469
6037208904,2992,3026,34,3026
6037209102,4300,4378,78,4378
6037209103,2566,2577,11,2577
6037209104,1794,1805,11,1805
6037209200,3412,3439,27,3439
6037209300,3527,3561,34,3561
6037209401,2949,2990,41,2990
6037209402,2906,2946,40,2946
6037209403,2887,2913,26,2913
6037209510,2190,2227,37,2227
6037209520,1961,1996,35,1996
6037209810,2140,2178,38,2178
6037209820,2082,2094,12,2094
6037210010,2862,2886,24,2886
6037211000,3771,3884,113,3884
6037211120,4939,5044,105,5044
6037211121,1776,1812,36,1812
6037211122,2769,2844,75,2844
6037211201,2362,2407,45,2407
6037211202,2039,2054,15,2054
6037211310,3419,3440,21,3440
6037211320,2587,2596,9,2596
6037211410,2275,2303,28,2303
6037211420,2877,2915,38,2915
6037211500,3349,3456,107,3456
6037211701,2288,2323,35,2323
6037211703,3918,4006,88,4006
6037211704,2489,2511,22,2511
6037211802,3560,3596,36,3596
6037211803,3066,3112,46,3112
6037211804,2769,2797,28,2797
6037211910,3650,3708,58,3708
6037211921,1911,2069,158,2069
6037211922,2685,2710,25,2710
6037212101,2725,2776,51,2776
6037212102,1995,2022,27,2022
6037212202,2810,2828,18,2828
6037212203,2389,2426,37,2426
6037212204,2461,2469,8,2469
6037212303,2726,2756,30,2756
6037212304,1427,1458,31,1458
6037212305,2313,2318,5,2318
6037212306,2383,2447,64,2447
6037212410,3704,3751,47,3751
6037212420,2749,2784,35,2784
6037212501,1730,1817,87,1817
6037212502,2449,2501,52,2501
6037212610,3477,3537,60,3537
6037212620,3472,3539,67,3539
6037212701,2089,2155,66,2155
6037212702,3126,3219,93,3219
6037212800,3158,3186,28,3186
6037212900,3517,3613,96,3613
6037213100,2372,2429,57,2429
6037213201,3442,3464,22,3464
6037213202,3081,3098,17,3098
6037213310,3050,3088,38,3088
6037213320,2022,2033,11,2033
6037213401,3925,3991,66,3991
6037213402,3406,3439,33,3439
6037214000,2642,2720,78,2720
6037214100,2958,3023,65,3023
6037214400,2654,2672,18,2672
6037214501,2330,2374,44,2374
6037214502,4520,4619,99,4619
6037214503,2825,2904,79,2904
6037214600,2226,2302,76,2302
6037214700,2290,2331,41,2331
6037214800,2698,2728,30,2728
6037214901,2886,2940,54,2940
6037214902,2601,2642,41,2642
6037215101,2703,2739,36,2739
6037215102,2920,2981,61,2981
6037216100,2081,2162,81,2162
6037216200,4981,5052,71,5052
6037216300,4118,4209,91,4209
6037216401,3799,3848,49,3848
6037216402,2552,2617,65,2617
6037216700,3082,3192,110,3192
6037216800,2507,2629,122,2629
6037216900,4363,4462,99,4462
6037217001,2081,2114,33,2114
6037217002,4215,4316,101,4316
6037217100,5129,5345,216,5345
6037217200,3209,3304,95,3304
6037218110,2672,2783,111,2783
6037218120,3882,3949,67,3949
6037218210,2809,2894,85,2894
6037218220,3469,3574,105,3574
6037218300,4161,4196,35,4196
6037218400,3428,3574,146,3574
6037218500,2164,2255,91,2255
