GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037224310,1419,141,24,39,1.7,1.9
6037228720,3126,291,24,39,0.8,0.6
6037231710,2751,306,24,40,0.9,1
6037242600,3028,348,24,43,0.8,0.8
6037530901,2695,227,24,67,0.9,0.8
6037531101,3507,345,24,67,0.7,0.7
6037535603,2565,190,24,71,0.9,0.8
6037573401,976,99,24,83,2.5,1.7
6037601501,2831,284,24,89,0.8,1.1
6037190802,2541,249,25,29,1,1
6037211922,2685,263,25,35,0.9,1.3
6037433503,2257,236,25,59,1.1,0.9
6037531604,2701,245,25,67,0.9,0.8
6037532700,2234,239,25,68,1.1,1.2
6037600912,4201,407,25,88,0.6,0.6
6037119340,2447,189,26,16,1.1,0.9
6037124103,1584,178,26,19,1.6,1.6
6037186404,2170,155,26,28,1.2,1
6037187200,2366,207,26,28,1.1,0.7
6037190100,4439,450,26,29,0.6,0.7
6037191620,2382,281,26,30,1.1,0.8
6037209403,2887,283,26,34,0.9,0.9
6037221820,2380,382,26,38,1.1,0.9
6037224410,2844,368,26,39,0.9,1
6037239320,2894,278,26,42,0.9,0.9
6037240200,3685,378,26,42,0.7,1
6037405002,2395,201,26,53,1.1,1
6037533701,2218,280,26,69,1.2,1.1
6037534302,2420,165,26,70,1.1,0.9
6037534404,2543,178,26,70,1,0.8
6037535102,3368,401,26,70,0.8,0.8
6037702501,3856,307,26,105,0.7,0.9
6037120104,1774,200,27,17,1.5,1.3
6037189904,2375,240,27,29,1.1,1.8
6037209200,3412,290,27,34,0.8,0.9
6037212102,1995,184,27,35,1.4,1.2
6037221710,2152,178,27,38,1.3,1
6037265303,4669,479,27,44,0.6,0.5
6037271200,2357,230,27,45,1.1,1.2
6037273600,1938,139,27,46,1.4,1.3
6037433302,1176,133,27,58,2.3,1.7
6037433403,3358,329,27,59,0.8,0.7
6037481713,2478,238,27,62,1.1,0.9
6037531602,3647,374,27,67,0.7,0.7
6037533107,2474,193,27,69,1.1,1.1
6037540201,1361,153,27,72,2,1.9
6037800331,576,95,27,108,4.7,3.3
6037123420,3298,305,28,19,0.8,0.8
6037199900,1991,166,28,32,1.4,1.3
6037204410,1433,169,28,33,2,1.9
6037211410,2275,331,28,35,1.2,1.2
6037211804,2769,274,28,35,1,1.2
6037212800,3158,236,28,36,0.9,1
6037226002,1563,145,28,39,1.8,1.6
6037239201,2646,291,28,41,1.1,0.6
6037433501,1364,232,28,59,2.1,2.1
6037533601,3241,297,28,69,0.9,1
6037534002,3228,294,28,70,0.9,0.4
6037553503,2088,161,28,78,1.3,0.8
6037920011,266,68,28,127,10.5,6.4
6037120020,3049,301,29,16,1,1.1
6037208402,2380,254,29,34,1.2,1
6037277400,1152,176,29,46,2.5,1.8
6037302004,3700,302,29,49,0.8,0.8
6037302202,4353,275,29,49,0.7,0.6
6037531701,4086,348,29,67,0.7,0.7
6037532500,2952,268,29,68,1,1
6037185203,2769,240,30,28,1.1,0.8
6037204920,1918,181,30,33,1.6,1.3
6037212303,2726,284,30,36,1.1,1.1
6037214800,2698,242,30,36,1.1,1
6037218600,2563,366,30,37,1.2,1.1
6037231210,2544,303,30,40,1.2,1.5
6037231220,3333,414,30,40,0.9,0.8
6037267501,5902,613,30,44,0.5,0.6
6037267502,2948,322,30,44,1,0.8
6037404803,1308,155,30,53,2.3,2.3
6037482503,3469,312,30,63,0.9,0.8
6037533001,2985,301,30,69,1,1.1
6037534202,3783,427,30,70,0.8,0.9
6037535502,3773,319,30,71,0.8,0.8
6037570203,2714,293,30,80,1.1,1
6037575202,3184,271,30,84,0.9,0.9
6037123203,2721,252,31,18,1.1,1.2
6037183520,2833,299,31,28,1.1,0.8
6037188202,2099,151,31,29,1.5,1.3
6037212304,1427,149,31,36,2.2,2
6037221220,2897,229,31,38,1.1,0.8
6037221810,2300,229,31,38,1.3,0.9
6037228220,2919,210,31,39,1.1,1
6037238320,2455,206,31,41,1.3,1.2
6037242200,4322,426,31,43,0.7,0.8
6037291120,1735,173,31,46,1.8,1.4
6037301502,5626,451,31,49,0.6,0.6
6037600602,1786,180,31,87,1.7,1.2
6037910101,1245,112,31,118,2.5,1.7
6037124105,2068,148,32,20,1.5,1.1
6037190401,2871,215,32,29,1.1,1
6037227020,2494,235,32,39,1.3,1
6037228320,2160,252,32,39,1.5,1.3
6037310501,3207,342,32,49,1,0.8
6037404302,1737,187,32,53,1.8,0.9
6037482303,4705,529,32,63,0.7,0.6
6037531603,2246,200,32,67,1.4,1.3
6037534900,4422,489,32,70,0.7,0.8
6037535001,3040,259,32,70,1.1,1
6037106648,3051,208,33,12,1.1,0.8
6037122200,2868,308,33,18,1.2,1
6037213402,3406,371,33,36,1,0.9
6037217001,2081,174,33,37,1.6,0.8
6037219010,2474,198,33,38,1.3,1.1
6037301501,1660,143,33,49,2,1.3
6037534700,3625,269,33,70,0.9,0.7
6037535002,2563,218,33,70,1.3,1.1
6037535803,3344,222,33,71,1,0.7
6037542104,2364,255,33,73,1.4,1.2
6037570403,3293,273,33,81,1,1.1
6037601802,2869,228,33,89,1.2,1.5
6037104701,2761,246,34,11,1.2,1
6037187102,2679,255,34,28,1.3,1.7
6037197600,2001,178,34,32,1.7,1.5
6037204910,2552,227,34,33,1.3,1.1
6037207103,1927,212,34,34,1.8,1.5
6037208904,2992,364,34,34,1.1,1.1
6037209300,3527,331,34,34,1,0.8
6037237710,2656,318,34,41,1.3,1.3
6037267700,2863,252,34,44,1.2,1
