GEOID,Veteran_Percent_EST
6037209200,0.8
6037209300,1
6037209401,1.4
6037209402,1.4
6037209403,0.9
6037209510,1.7
6037209520,1.8
6037209810,1.8
6037209820,0.6
6037210010,0.8
6037211000,3
6037211120,2.1
6037211121,2
6037211122,2.7
6037211201,1.9
6037211202,0.7
6037211310,0.6
6037211320,0.3
6037211410,1.2
6037211420,1.3
6037211500,3.2
6037211701,1.5
6037211703,2.2
6037211704,0.9
6037211802,1
6037211803,1.5
6037211804,1
6037211910,1.6
6037211921,8.3
6037211922,0.9
6037212101,1.9
6037212102,1.4
6037212202,0.6
6037212203,1.5
6037212204,0.3
6037212303,1.1
6037212304,2.2
6037212305,0.2
6037212306,2.7
6037212410,1.3
6037212420,1.3
6037212501,5
6037212502,2.1
6037212610,1.7
6037212620,1.9
6037212701,3.2
6037212702,3
6037212800,0.9
6037212900,2.7
6037213100,2.4
6037213201,0.6
6037213202,0.6
6037213310,1.2
6037213320,0.5
6037213401,1.7
6037213402,1
6037214000,3
6037214100,2.2
6037214400,0.7
6037214501,1.9
6037214502,2.2
6037214503,2.8
6037214600,3.4
6037214700,1.8
6037214800,1.1
6037214901,1.9
6037214902,1.6
6037215101,1.3
6037215102,2.1
6037216100,3.9
6037216200,1.4
6037216300,2.2
6037216401,1.3
6037216402,2.5
6037216700,3.6
6037216800,4.9
6037216900,2.3
6037217001,1.6
6037217002,2.4
6037217100,4.2
6037217200,3
6037218110,4.2
6037218120,1.7
6037218210,3
6037218220,3
6037218300,0.8
6037218400,4.3
6037218500,4.2
6037218600,1.2
6037218701,4.1
6037218702,3.8
6037218800,4.1
6037218900,2.8
6037219010,1.3
6037219020,2.4
6037219300,6
6037219500,7.1
6037219700,3
6037219800,1.7
6037219901,1.3
6037219902,1.2
6037220000,3.3
6037220100,4.4
6037221110,0.6
6037221120,1.7
6037221210,2.9
6037221220,1.1
6037221302,1.4
6037221303,2.1
6037221304,1.9
6037221401,3.3
6037221402,4.8
6037221500,4.7
6037221601,2
6037221602,0.6
6037221710,1.3
6037221810,1.3
6037221820,1.1
6037221900,0
6037222001,3.2
6037222002,1.6
6037222100,1.3
6037222200,2.2
6037222500,1.3
6037222600,0.8
6037222700,0.1
6037224010,0.7
6037224020,0
6037224200,0.2
6037224310,1.7
6037224320,0.7
6037224410,0.9
6037224420,1.2
6037224600,1.4
6037224700,0.3
6037226001,0.3
6037226002,1.8
6037226410,0.2
6037226420,0
6037226700,0
6037227010,0.4
6037227020,1.3
6037228100,0.3
6037228210,1.3
6037228220,1.1
6037228310,0.5
6037228320,1.5
6037228410,0
6037228420,0
6037228500,2.1
6037228600,1.5
6037228710,2
6037228720,0.8
6037228800,1.5
