GEO_id2,Veteran_EST
6037181400,120
6037181500,147
6037181600,89
6037183101,108
6037183103,118
6037183104,123
6037183220,88
6037183221,41
6037183222,139
6037183300,72
6037183401,75
6037183402,19
6037183510,78
6037183520,31
6037183610,68
6037183620,54
6037183701,88
6037183702,123
6037183810,65
6037183820,74
6037185100,183
6037185202,129
6037185203,30
6037185204,114
6037185310,38
6037185320,16
6037186100,134
6037186201,117
6037186202,57
6037186203,110
6037186301,20
6037186302,89
6037186401,21
6037186403,92
6037186404,26
6037187101,37
6037187102,34
6037187200,26
6037187300,38
6037188100,42
6037188201,82
6037188202,31
6037188300,60
6037189101,111
6037189102,38
6037189201,74
6037189202,74
6037189300,81
6037189400,135
6037189500,116
6037189600,128
6037189701,114
6037189702,61
6037189800,37
6037189902,99
6037189903,58
6037189904,27
6037189905,16
6037190100,26
6037190201,76
6037190202,50
6037190301,181
6037190401,32
6037190402,103
6037190510,64
6037190520,59
6037190700,80
6037190801,54
6037190802,25
6037190901,62
6037190902,79
6037191000,81
6037191110,50
6037191120,106
6037191201,106
6037191203,17
6037191204,15
6037191301,18
6037191302,44
6037191410,70
6037191420,155
6037191500,88
6037191610,21
6037191620,26
6037191710,44
6037191720,9
6037191810,19
6037191820,53
6037191901,106
6037191902,60
6037192001,60
6037192002,45
6037192300,95
6037192410,102
6037192420,8
6037192510,16
6037192520,53
6037192610,79
6037192620,8
6037192700,89
6037194101,71
6037194102,135
6037194200,109
6037194300,66
6037194401,38
6037194402,35
6037194500,41
6037195100,162
6037195201,77
6037195202,87
6037195300,82
6037195400,129
6037195500,49
6037195600,35
6037195710,68
6037195720,24
6037195802,45
6037195803,36
6037195804,0
6037195901,42
6037195902,38
6037195903,13
6037197200,92
6037197300,78
6037197410,119
6037197420,23
6037197500,49
6037197600,34
6037197700,8
6037199000,51
6037199110,84
6037199120,57
6037199201,83
6037199202,75
6037199300,88
6037199400,53
6037199700,56
6037199800,13
6037199900,28
6037201110,76
6037201120,57
6037201200,36
6037201301,78
6037201302,94
6037201401,50
6037201402,105
6037201501,94
6037201503,21
6037201504,59
6037201601,89
6037201602,70
6037201700,90
6037203100,44
6037203200,71
6037203300,14
6037203500,41
6037203600,38
6037203710,19
6037203720,70
6037203800,106
6037203900,47
6037204110,22
6037204120,60
6037204200,6
6037204300,49
6037204410,28
6037204420,55
6037204600,55
6037204700,20
6037204810,22
6037204820,46
6037204910,34
6037204920,30
6037205110,10
6037205120,12
6037206010,36
6037206020,320
6037206031,117
6037206032,10
6037206050,71
6037206200,108
6037206300,565
6037207101,55
6037207102,58
6037207103,34
6037207301,169
6037207302,178
6037207400,12
6037207501,82
6037207502,93
6037207710,102
6037207900,71
6037208000,52
6037208301,11
6037208302,4
6037208401,84
6037208402,29
6037208501,23
6037208502,22
6037208610,88
6037208620,45
6037208710,54
6037208720,51
6037208801,8
6037208802,70
6037208902,0
6037208903,63
6037208904,34
6037209102,78
6037209103,11
6037209104,11
6037209200,27
6037209300,34
6037209401,41
6037209402,40
6037209403,26
6037209510,37
6037209520,35
6037209810,38
6037209820,12
6037210010,24
6037211000,113
6037211120,105
6037211121,36
6037211122,75
6037211201,45
6037211202,15
6037211310,21
6037211320,9
6037211410,28
6037211420,38
6037211500,107
6037211701,35
6037211703,88
6037211704,22
6037211802,36
6037211803,46
6037211804,28
6037211910,58
6037211921,158
6037211922,25
6037212101,51
6037212102,27
6037212202,18
6037212203,37
6037212204,8
6037212303,30
6037212304,31
6037212305,5
6037212306,64
6037212410,47
6037212420,35
6037212501,87
6037212502,52
6037212610,60
6037212620,67
6037212701,66
6037212702,93
6037212800,28
6037212900,96
6037213100,57
6037213201,22
6037213202,17
6037213310,38
6037213320,11
6037213401,66
6037213402,33
6037214000,78
6037214100,65
6037214400,18
6037214501,44
6037214502,99
6037214503,79
6037214600,76
6037214700,41
6037214800,30
6037214901,54
6037214902,41
6037215101,36
6037215102,61
6037216100,81
6037216200,71
6037216300,91
6037216401,49
6037216402,65
