GEO_id2,Veteran_Standard_Error
6037535001,15.15
6037106648,15.15
6037122200,15.15
6037213402,15.15
6037217001,15.15
6037219010,15.15
6037301501,15.15
6037534700,15.15
6037535002,15.15
6037535803,15.15
6037542104,15.15
6037570403,15.15
6037601802,15.15
6037104701,15.15
6037187102,15.15
6037197600,15.15
6037204910,15.15
6037207103,15.76
6037208904,15.76
6037209300,15.76
6037237710,15.76
6037267700,15.76
6037482304,15.76
6037532102,15.76
6037534201,15.76
6037601801,15.76
6037104403,15.76
6037115103,15.76
6037117510,15.76
6037127603,15.76
6037194402,15.76
6037195600,15.76
6037209520,15.76
6037211701,15.76
6037212420,15.76
6037218300,15.76
6037219902,15.76
6037224600,15.76
6037229420,15.76
6037239310,15.76
6037272202,15.76
6037294810,15.76
6037301802,15.76
6037302503,15.76
6037402706,16.36
6037536104,16.36
6037575801,16.36
6037800330,16.36
6037980015,16.36
6037127806,16.36
6037195803,16.36
6037201200,16.36
6037206010,16.36
6037211121,16.36
6037211802,16.36
6037215101,16.36
6037222600,16.36
6037228210,16.36
6037267600,16.36
6037310701,16.36
6037532001,16.36
6037104620,16.36
6037107010,16.36
6037120106,16.36
6037121020,16.36
6037123902,16.36
6037124102,16.36
6037134520,16.97
6037187101,16.97
6037189800,16.97
6037209510,16.97
6037212203,16.97
6037240401,16.97
6037408501,16.97
6037501804,16.97
6037533602,16.97
6037534501,16.97
6037554103,16.97
6037570404,16.97
6037575402,16.97
6037601700,16.97
6037185310,16.97
6037187300,16.97
6037189102,16.97
6037194401,16.97
6037195902,16.97
6037203600,16.97
6037209810,16.97
6037211420,16.97
6037213310,16.97
6037243000,16.97
6037294620,16.97
6037403407,16.97
6037404600,16.97
6037460401,16.97
6037531502,16.97
6037533901,16.97
6037535606,17.58
6037910812,17.58
6037120010,17.58
6037124204,17.58
6037219800,17.58
6037402801,17.58
6037541606,17.58
6037542402,17.58
6037554801,17.58
6037601600,17.58
6037900102,17.58
6037122122,17.58
6037209402,17.58
6037402804,17.58
6037462302,17.58
6037601202,17.58
6037119341,17.58
6037183221,17.58
6037194500,17.58
6037203500,17.58
6037209401,17.58
6037214700,17.58
6037214902,17.58
6037239602,17.58
6037273300,17.58
6037433401,17.58
6037433901,17.58
6037531301,17.58
6037542103,17.58
6037188100,17.58
6037195901,17.58
6037221120,17.58
6037222100,18.18
6037267200,18.18
6037294610,18.18
6037294701,18.18
6037302104,18.18
6037433101,18.18
6037530601,18.18
6037541603,18.18
6037554203,18.18
6037231800,18.18
6037294520,18.18
6037530802,18.18
6037534101,18.18
6037571600,18.18
6037910714,18.18
6037930301,18.18
6037117404,18.18
6037122420,18.18
6037123206,18.18
6037123601,18.18
6037124104,18.18
