GEOID,GEO_id2,Civilian_EST,Civilian_MOE,Veteran_EST,Veteran_MOE,Veteran_Percent_EST,Veteran_Percent_MOE,Total_POP_EST
6037122122,6037122122,1890,204,40,25,2.1,1.4,1930
6037122200,6037122200,2868,308,33,26,1.2,1,2901
6037122410,6037122410,2571,282,67,65,2.6,2.5,2638
6037122420,6037122420,3240,275,44,42,1.4,1.3,3284
6037123010,6037123010,2910,207,74,44,2.5,1.5,2984
6037123020,6037123020,2697,229,59,55,2.2,2,2756
6037123103,6037123103,3091,255,53,38,1.7,1.2,3144
6037123104,6037123104,3602,334,90,49,2.5,1.3,3692
6037123203,6037123203,2721,252,31,33,1.1,1.2,2752
6037123204,6037123204,2401,196,16,18,0.7,0.7,2417
6037123205,6037123205,1899,169,8,13,0.4,0.7,1907
6037123206,6037123206,2135,132,44,26,2.1,1.3,2179
6037123301,6037123301,3605,331,56,46,1.6,1.3,3661
6037123303,6037123303,2502,199,51,32,2,1.3,2553
6037123304,6037123304,3354,267,136,70,4.1,2.1,3490
6037123410,6037123410,3386,312,79,71,2.3,2.1,3465
6037123420,6037123420,3298,305,28,24,0.8,0.8,3326
6037123510,6037123510,3813,315,106,50,2.8,1.3,3919
6037123520,6037123520,2011,177,57,35,2.8,1.8,2068
6037123601,6037123601,4204,286,44,49,1,1.2,4248
6037123602,6037123602,2831,245,75,53,2.6,1.9,2906
6037123700,6037123700,3459,456,82,42,2.4,1.2,3541
6037123800,6037123800,4770,386,207,122,4.3,2.5,4977
6037123901,6037123901,3166,252,97,47,3.1,1.4,3263
6037123902,6037123902,2223,192,37,28,1.7,1.3,2260
6037124000,6037124000,4080,253,261,108,6.4,2.7,4341
6037124102,6037124102,3108,303,37,32,1.2,1,3145
6037124103,6037124103,1584,178,26,25,1.6,1.6,1610
6037124104,6037124104,2084,170,44,27,2.1,1.3,2128
6037124105,6037124105,2068,148,32,23,1.5,1.1,2100
6037124201,6037124201,2574,267,154,105,6,4.5,2728
6037124203,6037124203,2322,185,63,33,2.7,1.4,2385
6037124204,6037124204,2155,270,39,42,1.8,2,2194
6037124300,6037124300,2858,328,55,40,1.9,1.4,2913
6037124400,6037124400,3556,224,100,60,2.8,1.7,3656
6037124500,6037124500,2300,253,125,81,5.4,3.6,2425
6037124600,6037124600,2734,184,93,43,3.4,1.6,2827
6037124700,6037124700,4571,375,128,68,2.8,1.4,4699
6037124902,6037124902,2320,214,70,50,3,2.2,2390
6037124903,6037124903,3233,262,120,56,3.7,1.7,3353
6037125100,6037125100,5231,383,184,96,3.5,1.9,5415
6037125200,6037125200,2913,302,96,68,3.3,2.3,3009
6037125310,6037125310,4336,412,60,59,1.4,1.3,4396
6037125320,6037125320,5008,535,159,122,3.2,2.5,5167
6037125401,6037125401,4126,323,66,56,1.6,1.4,4192
6037125402,6037125402,3703,243,116,55,3.1,1.5,3819
6037125501,6037125501,2887,282,205,131,7.1,4.6,3092
6037125502,6037125502,3049,290,100,69,3.3,2.3,3149
6037125600,6037125600,2104,190,60,38,2.9,1.8,2164
6037127102,6037127102,4479,580,112,67,2.5,1.6,4591
6037127103,6037127103,2319,271,49,44,2.1,1.9,2368
6037127104,6037127104,2744,285,80,57,2.9,2,2824
6037127210,6037127210,4333,341,139,67,3.2,1.6,4472
6037127220,6037127220,3690,235,51,41,1.4,1.1,3741
6037127300,6037127300,3751,349,114,54,3,1.4,3865
6037127400,6037127400,4803,315,89,54,1.9,1.2,4892
6037127520,6037127520,3170,289,45,57,1.4,1.8,3215
