GEO_id2,Civilian_EST_Tot_Pop
6037218701,1841
6037218702,1656
6037218800,2363
6037218900,4664
6037219010,2474
6037219020,3486
6037219300,2985
6037219500,1438
6037219700,3389
6037219800,2270
6037219901,3374
6037219902,2932
6037220000,4316
6037220100,2136
6037221110,2855
6037221120,2432
6037221210,2465
6037221220,2897
6037221302,4180
6037221303,2218
6037221304,2847
6037221401,2629
6037221402,2289
6037221500,2962
6037221601,2299
6037221602,2103
6037221710,2152
6037221810,2300
6037221820,2380
6037221900,3327
6037222001,2310
6037222002,3456
6037222100,3182
6037222200,2780
6037222500,3798
6037222600,4535
6037222700,4085
6037224010,1957
6037224020,1958
6037224200,1915
6037224310,1419
6037224320,2412
6037224410,2844
6037224420,1940
6037224600,2453
6037224700,6392
6037226001,1649
6037226002,1563
6037226410,2522
6037226420,4010
6037226700,4686
6037227010,3359
6037227020,2494
6037228100,3430
6037228210,2768
6037228220,2919
6037228310,3182
6037228320,2160
6037228410,2472
6037228420,2201
6037228500,3408
6037228600,3245
6037228710,2590
6037228720,3126
6037228800,3481
6037228900,1760
6037229100,3509
6037229200,3346
6037229300,3662
6037229410,2249
6037229420,3134
6037231100,2637
6037231210,2544
6037231220,3333
6037231300,4160
6037231400,4148
6037231500,3722
6037231600,5085
6037231710,2751
6037231720,3680
6037231800,3403
6037231900,3717
6037232110,2154
6037232120,3858
6037232200,2406
6037232300,3915
6037232400,5341
6037232500,3407
6037232600,4441
6037232700,4553
6037232800,2646
6037234000,4182
6037234200,2001
6037234300,3512
6037234501,2063
6037234502,2329
6037234600,3750
6037234700,2929
6037234800,2808
6037234901,1853
6037234902,2896
6037235100,3979
6037235201,2317
6037235202,3606
6037236000,4038
6037236100,4641
6037236202,4374
6037236203,2560
6037236204,2200
6037236400,3717
6037237101,2710
6037237102,2256
6037237201,2786
6037237202,3394
6037237300,3948
6037237401,2900
6037237402,2391
6037237500,2005
6037237600,2810
6037237710,2656
6037237720,2160
6037237800,2984
6037237900,3277
6037238000,4842
6037238100,3445
6037238200,3932
6037238310,3671
6037238320,2455
6037238400,4142
6037239201,2646
6037239202,3676
6037239310,2834
6037239320,2894
6037239330,2042
6037239501,2698
6037239502,2538
6037239601,2383
6037239602,2516
6037239701,3099
6037239702,2864
6037239801,2166
6037239802,3699
6037240010,2524
6037240020,3808
6037240200,3685
6037240300,3393
6037240401,3739
6037240402,2649
6037240500,4268
6037240600,4140
6037240700,4729
6037240800,3232
6037240900,3995
6037241001,3176
6037241002,2484
6037241110,2311
6037241120,3539
6037241201,2290
6037241202,3613
6037241300,1855
6037241400,2519
6037242000,2857
6037242100,1478
6037242200,4322
6037242300,3210
