GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Civilian_Stadard_Error,Veteran_EST,Veteran_MOE,Veteran_Standard_Error
6037213201,3442,295,179.33,22,36,10.91
6037240600,4140,438,266.26,22,42,10.91
6037462202,2352,337,204.86,22,60,10.91
6037481714,2302,204,124.01,22,62,10.91
6037534203,2398,180,109.42,22,70,10.91
6037104610,2613,225,136.78,23,11,11.52
6037121222,3769,342,207.9,23,17,11.52
6037197420,3020,281,170.82,23,32,11.52
6037208501,1810,196,119.15,23,34,11.52
6037224420,1940,210,127.66,23,39,11.52
6037533503,1527,131,79.64,23,69,11.52
6037540400,1652,177,107.6,23,72,11.52
6037540901,3488,347,210.94,23,72,11.52
6037553801,3145,310,188.45,23,78,11.52
6037106408,2440,214,130.09,24,12,11.52
6037120030,1833,198,120.36,24,17,11.52
6037195720,1892,192,116.72,24,31,11.52
6037210010,2862,305,185.41,24,34,11.52
6037224310,1419,141,85.71,24,39,12.12
6037228720,3126,291,176.9,24,39,12.12
6037231710,2751,306,186.02,24,40,12.12
6037242600,3028,348,211.55,24,43,12.12
6037530901,2695,227,137.99,24,67,12.12
6037531101,3507,345,209.73,24,67,12.12
6037535603,2565,190,115.5,24,71,12.12
6037573401,976,99,60.18,24,83,12.12
6037601501,2831,284,172.64,24,89,12.12
6037190802,2541,249,151.37,25,29,12.12
6037211922,2685,263,159.88,25,35,12.12
6037433503,2257,236,143.47,25,59,12.12
6037531604,2701,245,148.94,25,67,12.12
6037532700,2234,239,145.29,25,68,12.12
6037600912,4201,407,247.42,25,88,12.12
6037119340,2447,189,114.89,26,16,12.12
6037124103,1584,178,108.21,26,19,12.12
6037186404,2170,155,94.22,26,28,12.12
6037187200,2366,207,125.84,26,28,12.12
6037190100,4439,450,273.56,26,29,12.12
6037191620,2382,281,170.82,26,30,12.12
6037209403,2887,283,172.04,26,34,12.12
6037221820,2380,382,232.22,26,38,12.73
6037224410,2844,368,223.71,26,39,12.73
6037239320,2894,278,169,26,42,12.73
6037240200,3685,378,229.79,26,42,12.73
6037405002,2395,201,122.19,26,53,12.73
6037533701,2218,280,170.21,26,69,12.73
6037534302,2420,165,100.3,26,70,12.73
6037534404,2543,178,108.21,26,70,12.73
6037535102,3368,401,243.77,26,70,12.73
6037702501,3856,307,186.63,26,105,12.73
6037120104,1774,200,121.58,27,17,12.73
6037189904,2375,240,145.9,27,29,12.73
6037209200,3412,290,176.29,27,34,12.73
6037212102,1995,184,111.85,27,35,12.73
6037221710,2152,178,108.21,27,38,12.73
6037265303,4669,479,291.19,27,44,12.73
6037271200,2357,230,139.82,27,45,12.73
6037273600,1938,139,84.5,27,46,12.73
6037433302,1176,133,80.85,27,58,12.73
6037433403,3358,329,200,27,59,12.73
6037481713,2478,238,144.68,27,62,13.33
6037531602,3647,374,227.36,27,67,13.33
6037533107,2474,193,117.33,27,69,13.33
6037540201,1361,153,93.01,27,72,13.33
6037800331,576,95,57.75,27,108,13.33
6037123420,3298,305,185.41,28,19,13.33
6037199900,1991,166,100.91,28,32,13.33
6037204410,1433,169,102.74,28,33,13.33
6037211410,2275,331,201.22,28,35,13.33
6037211804,2769,274,166.57,28,35,13.33
6037212800,3158,236,143.47,28,36,13.33
6037226002,1563,145,88.15,28,39,13.33
6037239201,2646,291,176.9,28,41,13.33
6037433501,1364,232,141.03,28,59,13.33
6037533601,3241,297,180.55,28,69,13.33
6037534002,3228,294,178.72,28,70,13.33
6037553503,2088,161,97.87,28,78,13.33
6037920011,266,68,41.34,28,127,13.33
6037120020,3049,301,182.98,29,16,13.33
6037208402,2380,254,154.41,29,34,13.33
6037277400,1152,176,106.99,29,46,13.94
6037302004,3700,302,183.59,29,49,13.94
6037302202,4353,275,167.17,29,49,13.94
6037531701,4086,348,211.55,29,67,13.94
6037532500,2952,268,162.92,29,68,13.94
6037185203,2769,240,145.9,30,28,13.94
6037204920,1918,181,110.03,30,33,13.94
6037212303,2726,284,172.64,30,36,13.94
6037214800,2698,242,147.11,30,36,13.94
6037218600,2563,366,222.49,30,37,13.94
6037231210,2544,303,184.19,30,40,13.94
6037231220,3333,414,251.67,30,40,13.94
6037267501,5902,613,372.64,30,44,13.94
6037267502,2948,322,195.74,30,44,13.94
6037404803,1308,155,94.22,30,53,13.94
6037482503,3469,312,189.67,30,63,14.55
6037533001,2985,301,182.98,30,69,14.55
6037534202,3783,427,259.57,30,70,14.55
6037535502,3773,319,193.92,30,71,14.55
6037570203,2714,293,178.12,30,80,14.55
6037575202,3184,271,164.74,30,84,14.55
6037123203,2721,252,153.19,31,18,14.55
6037183520,2833,299,181.76,31,28,14.55
6037188202,2099,151,91.79,31,29,14.55
6037212304,1427,149,90.58,31,36,14.55
6037221220,2897,229,139.21,31,38,14.55
6037221810,2300,229,139.21,31,38,14.55
6037228220,2919,210,127.66,31,39,14.55
6037238320,2455,206,125.23,31,41,14.55
6037242200,4322,426,258.97,31,43,14.55
6037291120,1735,173,105.17,31,46,14.55
6037301502,5626,451,274.16,31,49,14.55
6037600602,1786,180,109.42,31,87,14.55
