GEO_id2,Tot_Pop_Standard_Error 
6037104703,124.01
6037104821,119.15
6037123204,119.15
6037185320,139.82
6037189905,117.33
6037192510,164.74
6037221110,226.75
6037228310,149.54
6037240010,179.33
6037434003,219.45
6037530700,91.79
6037533104,221.28
6037534102,184.19
6037542601,113.68
6037910403,77.2
6037117407,117.93
6037191203,105.17
6037213202,146.5
6037239202,254.71
6037265410,77.81
6037402501,196.35
6037533401,158.66
6037534301,159.27
6037535501,124.01
6037543202,241.34
6037104822,144.07
6037117520,150.76
6037191301,116.11
6037212202,144.07
6037214400,124.01
6037224320,148.94
6037224700,277.81
6037231900,246.2
6037239501,135.56
6037294830,110.64
6037434004,146.5
6037541400,366.57
6037575300,198.18
6037183402,164.74
6037191810,230.4
6037203710,141.03
6037237500,127.66
6037241110,153.19
6037533201,100.3
6037533702,124.62
6037534405,122.19
6037540502,248.02
6037542106,152.58
6037553701,129.48
6037119342,86.93
6037134001,181.76
6037186301,142.25
6037204700,265.05
6037241300,136.78
6037433504,257.75
6037533403,107.6
6037186401,136.78
6037191610,203.04
6037201503,107.6
6037211310,237.08
6037232110,128.27
6037239801,157.45
6037531302,330.7
6037533300,117.93
6037534001,179.33
6037535503,99.09
6037535605,198.78
6037134305,162.31
6037204110,182.98
6037204810,235.87
6037208502,136.17
6037211704,107.6
6037213201,179.33
6037240600,266.26
6037462202,204.86
6037481714,124.01
6037534203,109.42
6037104610,136.78
6037121222,207.9
6037197420,170.82
6037208501,119.15
6037224420,127.66
6037533503,79.64
6037540400,107.6
6037540901,210.94
6037553801,188.45
6037106408,130.09
6037120030,120.36
6037195720,116.72
6037210010,185.41
6037224310,85.71
6037228720,176.9
6037231710,186.02
6037242600,211.55
6037530901,137.99
6037531101,209.73
6037535603,115.5
6037573401,60.18
6037601501,172.64
6037190802,151.37
6037211922,159.88
6037433503,143.47
6037531604,148.94
6037532700,145.29
6037600912,247.42
6037119340,114.89
6037124103,108.21
6037186404,94.22
6037187200,125.84
6037190100,273.56
6037191620,170.82
6037209403,172.04
6037221820,232.22
6037224410,223.71
6037239320,169
6037240200,229.79
6037405002,122.19
6037533701,170.21
6037534302,100.3
6037534404,108.21
6037535102,243.77
6037702501,186.63
6037120104,121.58
6037189904,145.9
6037209200,176.29
6037212102,111.85
6037221710,108.21
6037265303,291.19
6037271200,139.82
6037273600,84.5
6037433302,80.85
6037433403,200
6037481713,144.68
6037531602,227.36
6037533107,117.33
6037540201,93.01
6037800331,57.75
6037123420,185.41
6037199900,100.91
6037204410,102.74
6037211410,201.22
6037211804,166.57
6037212800,143.47
6037226002,88.15
6037239201,176.9
6037433501,141.03
6037533601,180.55
6037534002,178.72
6037553503,97.87
6037920011,41.34
6037120020,182.98
6037208402,154.41
6037277400,106.99
6037302004,183.59
6037302202,167.17
6037531701,211.55
6037532500,162.92
6037185203,145.9
6037204920,110.03
6037212303,172.64
6037214800,147.11
6037218600,222.49
6037231210,184.19
6037231220,251.67
6037267501,372.64
6037267502,195.74
6037404803,94.22
6037482503,189.67
6037533001,182.98
6037534202,259.57
6037535502,193.92
6037570203,178.12
6037575202,164.74
6037123203,153.19
6037183520,181.76
6037188202,91.79
6037212304,90.58
6037221220,139.21
6037221810,139.21
6037228220,127.66
6037238320,125.23
6037242200,258.97
6037291120,105.17
6037301502,274.16
6037600602,109.42
6037910101,68.09
6037124105,89.97
6037190401,130.7
6037227020,142.86
6037228320,153.19
6037310501,207.9
6037404302,113.68
6037482303,321.58
6037531603,121.58
6037534900,297.26
6037535001,157.45
6037106648,126.44
6037122200,187.23
6037213402,225.53
6037217001,105.78
6037219010,120.36
6037301501,86.93
6037534700,163.53
6037535002,132.52
6037535803,134.95
6037542104,155.02
6037570403,165.96
6037601802,138.6
6037104701,149.54
6037187102,155.02
6037197600,108.21
6037204910,137.99
6037207103,128.88
6037208904,221.28
6037209300,201.22
6037237710,193.31
6037267700,153.19
6037482304,144.07
6037532102,142.86
6037534201,130.7
6037601801,118.54
6037104403,170.82
6037115103,178.72
6037117510,158.05
6037127603,109.42
6037194402,180.55
6037195600,157.45
6037209520,125.84
6037211701,136.78
6037212420,204.26
6037218300,258.36
6037219902,195.14
6037224600,128.27
6037229420,150.76
6037239310,173.25
6037272202,137.99
6037294810,134.35
6037301802,161.7
6037302503,164.13
6037402706,158.66
6037536104,108.81
6037575801,96.05
6037800330,41.95
6037980015,56.53
6037127806,158.66
6037195803,147.72
6037201200,102.74
6037206010,230.4
6037211121,105.17
6037211802,213.37
6037215101,165.35
6037222600,260.18
6037228210,148.33
6037267600,154.41
6037310701,107.6
6037532001,187.23
6037104620,130.7
6037107010,124.62
6037120106,171.43
6037121020,144.68
6037123902,116.72
6037124102,184.19
6037134520,179.33
6037187101,184.8
6037189800,181.16
6037209510,120.97
6037212203,143.47
6037240401,261.4
6037408501,109.42
6037501804,77.81
6037533602,217.63
6037534501,202.43
6037554103,113.68
6037570404,106.38
