GEO_id2,civ_std_err,tot_pop_std_err,vet_std_err,tot_pop_std_err2
6037191620,108.21,108.21,16.97,108.21
6037208302,108.21,108.21,20,108.21
6037229410,108.21,108.21,23.03,108.21
6037239801,108.21,108.21,24.24,108.21
6037277400,108.21,108.21,27.27,108.21
6037401101,108.21,108.21,30.3,108.21
6037504002,108.21,108.21,39.39,108.21
6037101110,108.81,108.81,1,108.81
6037187102,108.81,108.81,16.36,108.81
6037239201,108.81,108.81,24.24,108.81
6037241001,108.81,108.81,24.85,108.81
6037533402,108.81,108.81,40.61,108.81
6037127712,109.42,109.42,10.91,109.42
6037141303,109.42,109.42,14.55,109.42
6037185100,109.42,109.42,15.76,109.42
6037190510,109.42,109.42,16.97,109.42
6037573100,109.42,109.42,49.7,109.42
6037107010,110.03,110.03,4.24,110.03
6037113212,110.03,110.03,7.27,110.03
6037137402,110.03,110.03,13.94,110.03
6037407802,110.03,110.03,32.73,110.03
6037670416,110.03,110.03,58.79,110.03
6037115403,110.64,110.64,7.27,110.64
6037123602,110.64,110.64,9.7,110.64
6037214100,110.64,110.64,21.21,110.64
6037552700,110.64,110.64,46.06,110.64
6037602106,110.64,110.64,53.33,110.64
6037119202,111.25,111.25,7.27,111.25
6037192300,111.25,111.25,17.58,111.25
6037204410,111.25,111.25,18.79,111.25
6037209402,111.25,111.25,20,111.25
6037228900,111.25,111.25,23.03,111.25
6037237500,111.25,111.25,24.24,111.25
6037480704,111.25,111.25,36.36,111.25
6037920026,111.25,111.25,75.15,111.25
6037117302,111.85,111.85,7.27,111.85
6037119400,111.85,111.85,7.88,111.85
6037134302,111.85,111.85,12.73,111.85
6037212420,111.85,111.85,20.61,111.85
6037277100,111.85,111.85,27.27,111.85
6037402804,111.85,111.85,30.91,111.85
6037402903,111.85,111.85,30.91,111.85
6037530601,111.85,111.85,39.39,111.85
6037234200,112.46,112.46,23.64,112.46
6037293202,112.46,112.46,27.88,112.46
6037434004,112.46,112.46,35.15,112.46
6037532400,112.46,112.46,40.61,112.46
6037554600,112.46,112.46,47.27,112.46
6037570603,112.46,112.46,48.48,112.46
6037115401,113.07,113.07,7.27,113.07
6037194102,113.07,113.07,17.58,113.07
6037221820,113.07,113.07,22.42,113.07
6037431501,113.07,113.07,34.55,113.07
6037503301,113.07,113.07,38.79,113.07
6037553701,113.07,113.07,46.67,113.07
6037109604,113.68,113.68,6.06,113.68
6037122121,113.68,113.68,9.09,113.68
6037143200,113.68,113.68,15.15,113.68
6037190802,113.68,113.68,16.97,113.68
6037238000,113.68,113.68,24.24,113.68
6037408005,113.68,113.68,32.73,113.68
6037530802,113.68,113.68,39.39,113.68
6037531800,113.68,113.68,40,113.68
6037800506,113.68,113.68,63.64,113.68
6037222200,114.29,114.29,22.42,114.29
6037239601,114.29,114.29,24.24,114.29
6037310400,114.29,114.29,29.09,114.29
6037407302,114.29,114.29,32.73,114.29
6037131702,114.89,114.89,12.12,114.89
6037197300,114.89,114.89,18.18,114.89
6037214902,114.89,114.89,21.21,114.89
6037224200,114.89,114.89,22.42,114.89
6037242000,114.89,114.89,24.85,114.89
6037242100,114.89,114.89,24.85,114.89
6037301802,114.89,114.89,29.09,114.89
6037534203,114.89,114.89,41.82,114.89
6037128910,115.5,115.5,12.12,115.5
6037226001,115.5,115.5,22.42,115.5
6037265305,115.5,115.5,25.45,115.5
6037670001,115.5,115.5,58.18,115.5
6037117408,116.11,116.11,7.27,116.11
6037123303,116.11,116.11,9.7,116.11
6037267501,116.11,116.11,26.06,116.11
6037300501,116.11,116.11,28.48,116.11
6037408503,116.11,116.11,33.33,116.11
6037462400,116.11,116.11,35.76,116.11
6037550500,116.11,116.11,44.85,116.11
6037702801,116.11,116.11,61.21,116.11
6037113231,116.72,116.72,7.27,116.72
6037128303,116.72,116.72,11.52,116.72
6037189904,116.72,116.72,16.36,116.72
6037271500,116.72,116.72,26.67,116.72
6037601402,116.72,116.72,52.73,116.72
6037620601,116.72,116.72,55.76,116.72
6037702600,116.72,116.72,61.21,116.72
6037800504,116.72,116.72,63.64,116.72
6037920015,116.72,116.72,74.55,116.72
6037121210,117.33,117.33,8.48,117.33
6037134520,117.33,117.33,13.33,117.33
6037199300,117.33,117.33,18.18,117.33
6037222002,117.33,117.33,22.42,117.33
6037408623,117.33,117.33,33.33,117.33
6037461902,117.33,117.33,35.76,117.33
6037532700,117.33,117.33,40.61,117.33
6037601501,117.33,117.33,52.73,117.33
